Blattner	index	W3110_control	W3110_cumate	Step_06_control	Step_06_cumate	Step_07_control	Step_07_cumate	Step_11_control	Step_11_cumate	Step_12_lowOD_control	Step_12_lowOD_cumate	Step_15_control	Step_15_cumate	Step_16_control	Step_16_cumate	MGF-01_control	MGF-01_cumate	MGF-02_control	MGF-02_cumate
b3918	W3110_lambdaRed.CDS.3364	0.0027889935263812012	0.0018349962387262202	0.002108145240111321	0.0020316157061484818	0.0026377109157840373	0.0025142154676537506	0.002489220254727471	0.0024476540168687035	0.0010510546184408758	0.001977035346018031	0.0005083041140474246	0.0017891194294438965	0.0010241986533384055	0.0007085590857101414	0.0018033479274394814	0.001379155007616197	0.0012386902990848044	0.0013174646307252567
b3917	W3110_lambdaRed.CDS.3365	0.002317135370576781	0.009645156836757747	0.0048308266893212	0.006560511406526676	0.0005347164968917271	0.0018112323306824756	0.0004507493369105318	0.002329258448237443	0.0017689731162597092	0.009465849851755904	0.0007228257444739277	0.00025558859673881814	0.0019523739482881844	0.005667661670370708	0.003313738625257877	0.0039653343780706295	0.0008617363767109857	0.001090011784813536
b3916	W3110_lambdaRed.CDS.3366	0.19500071009403294	0.24034299410598006	0.19180328990447126	0.16909403038841989	0.19048372980981645	0.16835549105917713	0.17309947056808547	0.15630936269733917	0.15802210437509775	0.13234665627889494	0.2414062545407284	0.18023357581236635	0.19304005481568706	0.20598983621048814	0.1621170251904819	0.13381196505597767	0.14409194076056334	0.119367247468024
b3915	W3110_lambdaRed.CDS.3367	0.0007758543300825624	0.00011622220212680264	0.0014967612656472163	0.0001289393020763085	0.0008216511198582193	0.0	0.00015601700851791738	0.0	0.00012078184250197188	0.00028200981043403163	0.00015272057652653004	0.0	0.00011011705171418583	0.00015667187102998763	0.00044911826457966875	0.00034537808508991946	0.0007015554197139481	0.0
b4484	W3110_lambdaRed.CDS.3368	0.0032961084350394336	0.004693542245408833	0.0029531820374967634	0.00719689074157085	0.002856039401689457	0.009688080119520657	0.002624178830737589	0.006851009541889258	0.008079953765119335	0.008479550921172188	0.0038138257667931093	0.013444776386871873	0.004184638544950397	0.01024581456681559	0.005115447115471795	0.01338483287648598	0.004173750281095653	0.014494026701313672
b3912	W3110_lambdaRed.CDS.3369	0.02455702683555315	0.02864527912931196	0.008484478986183397	0.042728834541745975	0.027624161905045342	0.04441639447022247	0.07358327933275878	0.04419291041023835	0.03429131976386666	0.10031550089047475	0.03396709484874342	0.00282853169871802	0.05580364902166248	0.011890047312481777	0.006373038482054091	0.09215829293332344	0.047732848480802205	0.012359175660786204
b3911	W3110_lambdaRed.CDS.3370	0.004859958525903116	0.003985970621705199	0.004395471776646551	0.004795584667624523	0.005004330644956693	0.004522636413796269	0.003996814051395902	0.0038011299471276926	0.0079939616610491	0.00491600816843826	0.0029913593100373372	0.003433001665402701	0.006515403636058756	0.003081536373539343	0.006021240491548135	0.0044170204417117685	0.004677982801986068	0.003599752479989554
b3910	W3110_lambdaRed.CDS.3371	0.0044978523277842955	0.004351818440022378	0.004016285103975039	0.0036720804276229326	0.0042516955401703345	0.004368400819680762	0.0049393362111671635	0.007508071994115593	0.0019885875991547	0.0009130288437935461	0.0013439502018317464	0.0028455334807861933	0.003975208748542606	0.0026636729223499986	0.002700862100268348	0.002668709203247528	0.0031407981988170494	0.003263158276550489
b3908	W3110_lambdaRed.CDS.3374	0.04046007265255887	0.07677036438257118	0.08082685476176277	0.07917839115065578	0.03825116018854471	0.04621497337295485	0.057744127679716116	0.14626681891966112	0.03373061471149985	0.05710889557291363	0.0396936663899309	0.04060092662505042	0.02595115058979522	0.03717670658104532	0.027025372114188245	0.04642519672957678	0.02446048976095812	0.06966196124379226
b3895	W3110_lambdaRed.CDS.3388	0.03374210211332813	0.017277704317943603	0.03629692274612068	0.01401462299745576	0.026373388164980045	0.020273302507850397	0.031066292460133427	0.005741699752891805	0.03268767768806852	0.016879962015583477	0.017946688972477018	0.02153627136923744	0.030549689314675176	0.02246050540010412	0.03492502084087228	0.014895284744263403	0.013839120049703122	0.01069353281312879
	W3110_lambdaRed.CDS.3390	0.05514016770660592	0.02734203088174191	0.0564352165845981	0.03805003124014542	0.05396364264574951	0.04039036331752211	0.05993448216606073	0.04547128416849571	0.03808761157545552	0.03261979113828992	0.02549461898217557	0.038025395728317146	0.03543054607530288	0.02695584586827739	0.04070392615827521	0.033693784581959284	0.03674329833262499	0.03669276366916613
b1474	W3110_lambdaRed.CDS.3391	0.062197563612434004	0.044356895062040165	0.07814412763302803	0.060197197144613857	0.06427105099789532	0.056194834913345516	0.06459519427955868	0.07399566223933444	0.04436118414831084	0.050177718371206215	0.04283804053351905	0.044139620803515356	0.04404549400492613	0.03186049641048625	0.03928162553746248	0.04697100593110154	0.045836469114562566	0.059538968971626305
b3893	W3110_lambdaRed.CDS.3392	0.03733885686159538	0.020454399314490595	0.03597800530909318	0.028922402576130452	0.035535937276278136	0.03190189120934243	0.03856023861190669	0.02402153211688922	0.01931520828114999	0.01323153350758447	0.01094784784652881	0.032396579694977286	0.02121623362005579	0.011809245541508454	0.022636394490539644	0.020155378161897806	0.02067555442280669	0.02323022227478475
b3891	W3110_lambdaRed.CDS.3394	0.01674308394506131	0.011915007647000854	0.017713747493975543	0.01086767686838593	0.016949131122997566	0.01134602457090189	0.015521541446486731	0.011757366608699622	0.011009688068851676	0.009712489111032263	0.008022807550756439	0.010673256821796684	0.01135602774715589	0.008078903528128288	0.01247955876571237	0.009119167438373503	0.01209610415919174	0.008330240652020246
