$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b0435	6	2.83457780068	4.59165577905e-07	18.07602425
PM0-9980	6	2.83457780068	4.59165577905e-07	18.0760247092
b0436	6	2.83457780068	2.043075612	20.1191003212
PM00339	6	2.83457780068	4.59165577905e-07	20.1191007804
PM0-9744	6	2.83457780068	4.59165577905e-07	20.1191012395
PM00569	6	2.83457780068	4.59165577905e-07	20.1191016987
b0437	6	2.83457780068	0.339141310188	20.4582430089
PM0-9696	6	2.83457780068	4.59165577905e-07	20.4582434681
b0438	6	2.83457780068	4.59165577905e-07	20.4582439272
sraA	6	2.83457780068	4.59165577905e-07	20.4582443864
PM00511	6	2.83457780068	4.59165577905e-07	20.4582448456
b0439	6	2.83457780068	0.165259623729	20.6235044693
PM590	6	2.83457780068	4.59165577905e-07	20.6235049285
b0440	6	2.83457780068	4.59165577905e-07	20.6235053876
PM00615	6	2.83457780068	4.59165577905e-07	20.6235058468
b0441	6	2.83457780068	0.105425560666	20.7289314075
b0442	6	2.83457780068	4.59165577905e-07	20.7289318666
PM0-44483	6	2.83457780068	4.59165577905e-07	20.7289323258
b0443	6	2.83457780068	4.59165577905e-07	20.7289327849
b0444	6	2.83457780068	4.59165577905e-07	20.7289332441
b0445	6	2.83457780068	4.59165577905e-07	20.7289337033
b0446	6	2.83457780068	4.59165577905e-07	20.7289341624
PM0-10221	6	2.83457780068	4.59165577905e-07	20.7289346216
b0447	6	2.83457780068	4.59165577905e-07	20.7289350808
b0448	6	2.83457780068	4.59165577905e-07	20.7289355399
b0449	6	2.83457780068	4.59165577905e-07	20.7289359991
PM687	6	2.83457780068	4.59165577905e-07	20.7289364583
b0450	6	2.83457780068	4.59165577905e-07	20.7289369174
b0451	6	2.83457780068	0.0039209091718	20.7328578266
b0452	6	2.83457780068	4.59165577905e-07	20.7328582858
b3465	5	2.35459208769	4.59165577905e-07	150.80882267
b3466	5	2.35459208769	4.59165577905e-07	150.808823129
b3467	5	2.35459208769	4.59165577905e-07	150.808823588
b3468	5	2.35459208769	4.59165577905e-07	150.808824047
PM0-4863	5	2.35459208769	4.59165577905e-07	150.808824507
b3469	5	2.35459208769	0.0014759564433	150.810300463
b3470	5	2.35459208769	0.00614054882167	150.816441012
b3471	5	2.35459208769	4.59165577905e-07	150.816441471
b3472	5	2.35459208769	0.0713856220747	150.887827093
b3473	5	2.35459208769	4.59165577905e-07	150.887827552
b3474	5	2.35459208769	4.59165577905e-07	150.887828011
b3475	5	2.35459208769	4.59165577905e-07	150.887828471
PM0-10466	5	2.35459208769	4.59165577905e-07	150.88782893
PM881	5	2.35459208769	4.59165577905e-07	150.887829389
b3476	5	2.35459208769	0.000408682188191	150.888238071
b3477	5	2.35459208769	4.59165577905e-07	150.88823853
b3478	5	2.35459208769	0.000125578012156	150.888364108
b3479	5	2.35459208769	4.59165577905e-07	150.888364568
b3480	5	2.35459208769	4.59165577905e-07	150.888365027
PM786	5	2.35459208769	4.59165577905e-07	150.888365486
b3481	5	2.35459208769	4.59165577905e-07	150.888365945
b3482	5	2.35459208769	4.59165577905e-07	150.888366404
b3483	5	2.35459208769	4.59165577905e-07	150.888366863
b4552	5	2.35459208769	4.59165577905e-07	150.888367322
b3484	5	2.35459208769	4.59165577905e-07	150.888367782
b3485	5	2.35459208769	4.59165577905e-07	150.888368241
b3486	5	2.35459208769	4.59165577905e-07	150.8883687
b3487	5	2.35459208769	4.59165577905e-07	150.888369159
b3488	5	2.35459208769	4.59165577905e-07	150.888369618
b4660	5	2.35459208769	4.59165577905e-07	150.888370077
PM0-36192	5	2.35459208769	4.59165577905e-07	150.888370537
b3491	5	2.35459208769	4.59165577905e-07	150.888370996
b3492	5	2.35459208769	4.59165577905e-07	150.888371455
PM0-8927	5	2.35459208769	4.59165577905e-07	150.888371914
b3493	5	2.35459208769	0.0184617294836	150.906833644
b3494	5	2.35459208769	4.59165577905e-07	150.906834103
PM0-1358	5	2.35459208769	4.59165577905e-07	150.906834562
PM00451	5	2.35459208769	4.59165577905e-07	150.906835021
b3495	5	2.35459208769	0.986787246067	151.893622267
b3496	5	2.35459208769	4.59165577905e-07	151.893622726
b3497	5	2.35459208769	0.00162488075999	151.895247607
b3498	5	2.35459208769	4.59165577905e-07	151.895248066
PM0-9720	5	2.35459208769	4.59165577905e-07	151.895248525
PM0-10146	5	2.35459208769	4.59165577905e-07	151.895248985
b3499	5	2.35459208769	4.59165577905e-07	151.895249444
PM0-15	5	2.35459208769	4.59165577905e-07	151.895249903
b3500	5	2.35459208769	0.0787486121733	151.973998515
b4613	5	2.35459208769	4.59165577905e-07	151.973998974
PM0-8643	5	2.35459208769	4.59165577905e-07	151.973999433
PM0-46267	5	2.35459208769	4.59165577905e-07	151.973999893
b4712	5	2.35459208769	4.59165577905e-07	151.974000352
PM0-46268	5	2.35459208769	4.59165577905e-07	151.974000811
b4713	5	2.35459208769	4.59165577905e-07	151.97400127
PM336	5	2.35459208769	4.59165577905e-07	151.974001729
b3501	5	2.35459208769	4.59165577905e-07	151.974002188
b3502	5	2.35459208769	4.59165577905e-07	151.974002648
b3503	5	2.35459208769	4.59165577905e-07	151.974003107
b3504	5	2.35459208769	4.59165577905e-07	151.974003566
b3505	5	2.35459208769	4.59165577905e-07	151.974004025
PM00137	5	2.35459208769	4.59165577905e-07	151.974004484
b3506	5	2.35459208769	0.0213153764963	151.995319861
b3507	5	2.35459208769	4.59165577905e-07	151.99532032
b3508	5	2.35459208769	4.59165577905e-07	151.995320779
b3509	5	2.35459208769	0.00149612181136	151.996816901
b3510	5	2.35459208769	0.0412377155805	152.038054616
PM928	5	2.35459208769	4.59165577905e-07	152.038055076
PM0-5143	5	2.35459208769	4.59165577905e-07	152.038055535
b3511	5	2.35459208769	0.000121005817164	152.038176541
PM0-10349	5	2.35459208769	4.59165577905e-07	152.038177
b4704	5	2.35459208769	4.59165577905e-07	152.038177459
PM0-36220	5	2.35459208769	4.59165577905e-07	152.038177918
PM0-10366	5	2.35459208769	4.59165577905e-07	152.038178377
PM0-5141	5	2.35459208769	4.59165577905e-07	152.038178836
PM0-5982	5	2.35459208769	4.59165577905e-07	152.038179296
b3512	5	2.35459208769	4.59165577905e-07	152.038179755
PM0-10251	5	2.35459208769	4.59165577905e-07	152.038180214
b3513	5	2.35459208769	0.0010564267632	152.039236641
b3514	5	2.35459208769	3.18624505217e-06	152.039239827
b3515	5	2.35459208769	4.59165577905e-07	152.039240286
PM0-10288	5	2.35459208769	4.59165577905e-07	152.039240745
PM0-6061	5	2.35459208769	4.59165577905e-07	152.039241204
b4452	5	2.35459208769	4.59165577905e-07	152.039241664
b3516	5	2.35459208769	4.59165577905e-07	152.039242123
PM0-2441	5	2.35459208769	4.59165577905e-07	152.039242582
b3517	5	2.35459208769	0.00234616311587	152.041588745
PM461	5	2.35459208769	4.59165577905e-07	152.041589204
b3518	5	2.35459208769	4.59165577905e-07	152.041589663
PM0-9588	5	2.35459208769	4.59165577905e-07	152.041590123
PM0-46122	5	2.35459208769	4.59165577905e-07	152.041590582
b3519	5	2.35459208769	4.59165577905e-07	152.041591041
b3520	5	2.35459208769	4.59165577905e-07	152.0415915
PM0-10468	5	2.35459208769	4.59165577905e-07	152.041591959
b3521	5	2.35459208769	4.59165577905e-07	152.041592418
b3522	5	2.35459208769	0.00158354087799	152.043175959
b3523	5	2.35459208769	0.0365998101301	152.079775769
b3524	5	2.35459208769	0.00198345694577	152.081759226
PM0-9766	5	2.35459208769	4.59165577905e-07	152.081759686
b3525	5	2.35459208769	4.59165577905e-07	152.081760145
PM0-1730	5	2.35459208769	4.59165577905e-07	152.081760604
b3526	5	2.35459208769	4.59165577905e-07	152.081761063
b3527	5	2.35459208769	0.00987382791646	152.091634891
PM-8803	5	2.35459208769	4.59165577905e-07	152.09163535
b3528	5	2.35459208769	0.00347500069439	152.095110351
PM0-1621	5	2.35459208769	4.59165577905e-07	152.09511081
b3529	5	2.35459208769	0.000492657833873	152.095603468
b3530	5	2.35459208769	4.59165577905e-07	152.095603927
b3531	5	2.35459208769	4.59165577905e-07	152.095604386
b3532	5	2.35459208769	4.59165577905e-07	152.095604845
PM0-8735	5	2.35459208769	4.59165577905e-07	152.095605304
b3533	5	2.35459208769	4.59165577905e-07	152.095605764
b3534	5	2.35459208769	4.59165577905e-07	152.095606223
b3535	5	2.35459208769	4.59165577905e-07	152.095606682
PM0-46354	5	2.35459208769	4.59165577905e-07	152.095607141
PM0-46353	5	2.35459208769	4.59165577905e-07	152.0956076
b3536	5	2.35459208769	4.59165577905e-07	152.095608059
b3537	5	2.35459208769	4.59165577905e-07	152.095608519
b3538	5	2.35459208769	0.00435808739956	152.099966606
b4453	5	2.35459208769	4.59165577905e-07	152.099967065
