level_0,Step05_predicted_from_W3110,Step09_predicted_from_Step05,Step10_predicted_from_Step09,Step10_predicted_from_W3110,iBAQ_Step04,iBAQ_Step05,iBAQ_Step09,iBAQ_Step10,iBAQ_W3110,$D_{KL}\left(\text{iBAQ_Step05}\|\text{Step05_predicted_from_W3110}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_Step09}\right)$,$D_{KL}\left(\text{iBAQ_Step09}\|\text{Step09_predicted_from_Step05}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_W3110}\right)$,$\log_2\left(\frac{\text{iBAQ_Step05}}{\text{Step05_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_Step09}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step09}}{\text{Step09_predicted_from_Step05}}\right)$
b1930,0.00019852066683247586,0.00016767690353311913,9.974042800602751e-05,0.000200929956972299,0.0001977413053714379,0.0001665639019639292,9.965592707810762e-05,9.826545667056034e-05,0.000198235641252604,2.722438470287265e-06,1.0960171941692292e-08,1.6168461839646142e-05,3.237680943652435e-05,-0.2532134347310837,4.063624080742722,3.0531817059188135,3.3282413652543656
b1928,0.0002041925393852302,0.00021550969735417298,0.00022010743994925957,0.00020667066460824002,0.00020758174746723698,0.0002140791924588851,0.00021992096307834962,0.00019811945282024974,0.00020389937042769845,2.3557536109623713e-07,1.1367775910146871e-06,4.484215189120666e-08,1.793992783558475e-07,0.06821442382059395,3.622864056212171,3.7137383441723504,3.7577172564995696
b1927,2.8063886899819762e-05,1.8869152358344445e-05,4.225905021835288e-06,2.840447635618052e-05,2.2774468907969476e-05,1.8743903169329137e-05,4.222324799624644e-06,6.9896046907992915e-06,2.8023594240296157e-05,1.7546622994023195e-06,7.534034078472858e-07,8.325405392463057e-06,1.161458791623771e-05,-0.5822934323103812,5.981221669730605,3.2324356108143117,3.3184861776899943
b1925,1.1239251216156066e-05,1.6022821401063635e-05,1.8895425744851592e-05,1.1375653221882407e-05,8.388290097019736e-06,1.591646551670231e-05,1.8879417381534916e-05,1.1887201432320663e-05,1.1223114487691851e-05,8.607912075680672e-07,1.4990109743063572e-06,2.407283407654806e-07,1.1333193724063058e-08,0.5019740767564365,4.351555202681864,5.083642836643579,5.052074008581888
b1924,5.612885617892958e-06,4.279271024296244e-06,6.397929810595875e-06,5.681004822764239e-06,8.388290097019736e-06,4.250866185796289e-06,6.392509430750212e-06,4.342155616999434e-06,5.604826930585885e-06,1.8052438739149255e-07,3.727392175257941e-07,4.5235836754804425e-07,1.7186356913748984e-07,-0.40098581496790686,4.9068237568610495,5.078282794384764,5.873819861004197
b1923,6.685054982740019e-05,0.0003552982602689649,0.0003330440876965368,6.766186269024094e-05,5.350385565342426e-06,0.00035293987033643793,0.0003327619299495609,0.00018341524662112004,6.675456930792416e-05,0.00030114550928101325,4.021757699931367e-05,7.303421267288042e-07,6.715380179621018e-05,2.4004110840971062,2.948241340146609,5.247539711794921,3.4505985063314704
b1922,0.0007487873115136231,0.0005370205333122118,0.0009699615667134719,0.0007578747577490158,1.1626633935680895e-05,0.0005334559118069867,0.0009691398071314,0.0008181577877352372,0.0007477122418945743,3.4447941502788334e-05,1.2552312078797033e-05,0.00014003426584068717,2.336368081526331e-06,-0.48918694563826826,2.9013294503441047,3.2572975779522375,3.923633451271556
b1921,3.673153856298429e-05,6.443654711778226e-05,0.00012725793793353868,3.717732053164457e-05,1.1386585580012939e-05,6.400883181207167e-05,0.00012715012394020082,6.457855557438316e-05,3.667880134299834e-05,8.272272513231875e-06,1.887357598256189e-05,2.3708772108951303e-05,8.257976920651253e-06,0.8012516519850248,3.2923285705097403,5.0675895199621515,4.95161919490995
b1938,0.0001276639335630406,0.00011631613339708457,0.00016675116604295576,0.00012921329092342075,3.528849887800956e-06,0.00011554405306720486,0.00016660989305522102,0.0001293566747942569,0.00012748064037108677,5.94427861956993e-07,4.547058488500944e-06,9.57639544038087e-06,7.952484593694471e-11,-0.1439079980103024,3.5970784816732575,3.9650208576988657,4.369805714813317
b1945,0.000247607162141149,0.0002087094828368709,0.0003204849342782495,0.0002506121767011679,8.557074033950773e-06,0.00020732411623594025,0.00032021341675148273,0.0002861775762062711,0.00024725166074124046,3.470551150739948e-06,1.9055446596061157e-06,2.5561641988572852e-05,2.4120482971152525e-06,-0.25616510316910457,3.4485577969729313,3.8033578217747834,4.179693370754011
b1967,0.0006267526362140246,0.00032228706783866875,8.534467629035891e-05,0.0006343590429959083,0.000758729972165002,0.00032014779877610994,8.527237156414376e-05,0.00010925020770480457,0.0006258527775926354,9.153941226117135e-05,3.07300579929109e-06,0.000123637219694944,0.00033294051970941113,-0.9691580687273404,4.39446948934868,1.5005429294224637,2.2297060266993913
b1947,5.329557778519372e-06,2.8493332171921864e-06,1.0701606668791143e-05,5.394238454895702e-06,7.70633643941075e-06,2.830419984212228e-06,1.0692540177782182e-05,4.157193905350405e-06,5.3219058784904195e-06,7.079258634276753e-07,2.613563177358613e-06,6.2972637371041705e-06,1.541324261052282e-07,-0.912999690602522,4.121142811531437,5.109479018035442,6.974979981567346
b1953,0.00010826904851016804,6.35361316747465e-05,1.984329733156341e-05,0.00010958302531261202,4.887942439856969e-05,6.311439312421153e-05,1.982648592348116e-05,1.7950494306852854e-05,0.00010811360147875228,1.10936808439066e-05,9.329053294155715e-08,2.0619917912590948e-05,5.9158923048212455e-05,-0.7785799185766091,4.693095792853757,2.227795135626854,3.1135713773134412
b1961,3.516809627648828e-06,6.528393777570279e-06,7.868312329505508e-07,3.5594903968338293e-06,1.5880078769578486e-06,6.485059768141304e-06,7.861646229246078e-07,1.8061698438323415e-06,3.511760376508313e-06,1.000261505409767e-06,4.814982061428667e-07,4.078115187717541e-06,5.279988688871243e-07,0.882852629883196,7.053140375069422,4.875595797132355,3.1687408668485677
